suite,scenario_id,backend,seeds,delta_success_mean,delta_success_std,delta_success_ci95,delta_collision_mean,delta_collision_std,delta_collision_ci95,delta_clearance_mean,delta_clearance_std,delta_clearance_ci95,delta_path_length_mean,delta_path_length_std,delta_path_length_ci95,delta_solve_time_mean,delta_solve_time_std,delta_solve_time_ci95,summary_path
exp_e4,point_mass_2d_dynamic_obstacle_v1,random_shooting,3,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0,0.0,0.0,0.748932082823611,0.014730118353226988,0.01666869808100407,-0.09640304214696786,0.8720905895809175,0.9868634038384729,0.03277705141350262,0.006967219555223176,0.007884151127994198,results/exp_e4/summary.json
extended/backend_comparison/casadi,point_mass_2d_dynamic_obstacle_v1,casadi,20,0.85,0.36634754853252327,0.16055889229418857,-0.85,0.36634754853252327,0.16055889229418857,0.6269289856743739,0.014505774931498095,0.00635743616737585,2.384524075767118,0.8655249894026462,0.37933305165570397,-0.37489618660838947,3.8774834781588208,1.699382061203907,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,20,-0.05,0.5104177855340405,0.22370045761428858,0.0,0.0,0.0,0.7611588688043248,0.08472620503592312,0.03713289657143819,0.7152238335254643,1.0224945356928998,0.4481279885325562,0.0385161363389151,0.014224972130897127,0.0062343689138942985,results/extended/backend_comparison/random_shooting/summary.json
extended/prediction_noise/prediction_noise_0.00,prediction_noise_0.00,random_shooting,20,-0.05,0.5104177855340405,0.22370045761428858,0.0,0.0,0.0,0.7611588688043248,0.08472620503592312,0.03713289657143819,0.7152238335254643,1.0224945356928998,0.4481279885325562,0.029386873688266833,0.01597996959349903,0.007003530464730928,results/extended/prediction_noise/prediction_noise_0.00/summary.json
extended/prediction_noise/prediction_noise_0.03,prediction_noise_0.03,random_shooting,20,0.05,0.5104177855340405,0.22370045761428858,-0.05,0.22360679774997896,0.09799999999999999,1.0497652687115246,0.16191369420965612,0.07096180524121741,1.7346620226695557,1.0811990339708484,0.4738563692845206,0.027229970117470925,0.058701316363218875,0.025726986216348113,results/extended/prediction_noise/prediction_noise_0.03/summary.json
extended/prediction_noise/prediction_noise_0.06,prediction_noise_0.06,random_shooting,20,-0.5,0.6069769786668839,0.26601938987501206,-0.05,0.22360679774997896,0.09799999999999999,1.1118996519500164,0.1506978842660256,0.06604625980370893,3.664773916235396,1.3022773033469823,0.5707481928644375,0.022185447886412368,0.033136015285440946,0.014522499005616737,results/extended/prediction_noise/prediction_noise_0.06/summary.json
extended/prediction_noise/prediction_noise_0.10,prediction_noise_0.10,random_shooting,20,-0.75,0.4442616583193193,0.19470625648856144,-0.05,0.22360679774997896,0.09799999999999999,0.9718073992583565,0.27226975689033495,0.1193274821863296,5.23463945116181,1.1330338424043558,0.496573975715089,0.0423720374224376,0.04623269856999391,0.020262373530009682,results/extended/prediction_noise/prediction_noise_0.10/summary.json
extended/scenarios/diagonal_crossing_v1_random_shooting,diagonal_crossing_v1,random_shooting,50,-0.04,0.34758643030275543,0.09634604299087741,0.0,0.0,0.0,0.5856872611960195,0.06664323775236433,0.018472563051290265,0.5793434188521209,0.9889592013581777,0.2741255049781023,0.039671313672402043,0.017546275904583526,0.0048635795452668445,results/extended/scenarios/diagonal_crossing_v1_random_shooting/summary.json
extended/scenarios/fast_crossing_v1_random_shooting,fast_crossing_v1,random_shooting,50,-0.26,0.6327781311528601,0.17539714934969725,0.0,0.0,0.0,0.6015697378402219,0.08006215620723364,0.022192097479656208,1.2742537836378909,1.233904887258915,0.3420209851430404,0.046370797269372536,0.015456724542381787,0.004284385457629473,results/extended/scenarios/fast_crossing_v1_random_shooting/summary.json
extended/scenarios/large_obstacle_v1_random_shooting,large_obstacle_v1,random_shooting,50,0.0,0.3499271061118826,0.09699484522385712,-0.02,0.1414213562373095,0.0392,0.5941136892122602,0.12179967961304118,0.03376114872508628,0.7138173000571376,0.9754859615197671,0.2703909134304195,0.04319815577154931,0.022542900685408953,0.006248573273368876,results/extended/scenarios/large_obstacle_v1_random_shooting/summary.json
extended/scenarios/late_crossing_v1_random_shooting,late_crossing_v1,random_shooting,50,0.02,0.37742413753208304,0.10461663347670866,0.0,0.0,0.0,0.7619019847358683,0.08163820511637344,0.022628955949140894,1.0097657739471746,1.041513325612238,0.2886927650127339,0.038138652544400575,0.015398872062519843,0.004268349568348488,results/extended/scenarios/late_crossing_v1_random_shooting/summary.json
extended/scenarios/noisy_prediction_v1_random_shooting,noisy_prediction_v1,random_shooting,50,-0.44,0.5771145679064045,0.15996799679935983,-0.04,0.1979486637221574,0.054868570238343184,0.986463584060421,0.1245512351107507,0.034523840997172955,3.460278962334002,1.219523699311202,0.3380347232194568,0.04277009924448153,0.017739690687477567,0.004917191387856755,results/extended/scenarios/noisy_prediction_v1_random_shooting/summary.json
extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,50,0.02,0.47337261502231115,0.13121219455523178,0.0,0.0,0.0,0.7646157677359399,0.08665423936559513,0.02401932970739804,0.6430005410309768,1.0121433140680203,0.2805518131567681,0.04278056825127871,0.020077520457204553,0.0055652047389627805,results/extended/scenarios/point_mass_2d_dynamic_obstacle_v1_random_shooting/summary.json
extended/scenarios/short_horizon_v1_random_shooting,short_horizon_v1,random_shooting,50,0.04,0.1979486637221574,0.054868570238343184,-0.04,0.1979486637221574,0.054868570238343184,0.6237364001706451,0.05514161889945931,0.015284476958569491,0.7121254850126317,0.5954052159909852,0.1650379057861781,0.02713782838841345,0.018169436714325925,0.005036310909127556,results/extended/scenarios/short_horizon_v1_random_shooting/summary.json
extended/speed_sweep/obstacle_speed_0.20,obstacle_speed_0.20,random_shooting,20,-0.05,0.5104177855340405,0.22370045761428858,0.0,0.0,0.0,0.7259166227520883,0.09635761264544708,0.04223058571686335,0.33498095118659243,0.9138237020776483,0.4005008957900429,0.07539975373786036,0.06118665271184754,0.026816232896755138,results/extended/speed_sweep/obstacle_speed_0.20/summary.json
extended/speed_sweep/obstacle_speed_0.35,obstacle_speed_0.35,random_shooting,20,-0.05,0.5104177855340405,0.22370045761428858,0.0,0.0,0.0,0.7611588688043248,0.08472620503592312,0.03713289657143819,0.7152238335254643,1.0224945356928998,0.4481279885325562,0.032256695013922906,0.03894245006464923,0.017067281248769564,results/extended/speed_sweep/obstacle_speed_0.35/summary.json
extended/speed_sweep/obstacle_speed_0.50,obstacle_speed_0.50,random_shooting,20,-0.4,0.5026246899500346,0.2202849828840144,0.0,0.0,0.0,0.6343060623203136,0.08329488848395135,0.0365055944343624,1.3854744139744766,1.1983918233412445,0.5252183738115045,0.02293937205412594,0.023895623736426713,0.010472718851723899,results/extended/speed_sweep/obstacle_speed_0.50/summary.json
extended/speed_sweep/obstacle_speed_0.65,obstacle_speed_0.65,random_shooting,20,-0.45,0.6048053188292994,0.2650676179869264,0.0,0.0,0.0,0.39597367292166097,0.11125703528427278,0.04876054559866241,1.6951606228884788,1.048078188833437,0.4593405188894195,0.02588667699181143,0.02087243711749062,0.009147748897156562,results/extended/speed_sweep/obstacle_speed_0.65/summary.json
extended/stress_100_seeds/base_random_shooting,point_mass_2d_dynamic_obstacle_v1,random_shooting,100,-0.08,0.4857567250791243,0.09520831811550837,0.0,0.0,0.0,0.7705652296333599,0.08000775907903836,0.015681520779491517,0.7595512084285374,0.9858222002502898,0.19322115124905678,0.036625343166869814,0.011941947840216132,0.002340621776682362,results/extended/stress_100_seeds/base_random_shooting/summary.json
paper_main/e4_base_50_seed,point_mass_2d_dynamic_obstacle_v1,random_shooting,50,0.02,0.47337261502231115,0.13121219455523178,0.0,0.0,0.0,0.7646157677359399,0.08665423936559513,0.02401932970739804,0.6430005410309768,1.0121433140680203,0.2805518131567681,0.022633825124439403,0.02060287285831222,0.00571082499513444,results/paper_main/e4_base_50_seed/summary.json
