suite,experiment_id,scenario_id,backend,label,success_rate,collision_rate,control_failure_rate,min_clearance_mean,path_length_mean,completion_time_mean,mean_solve_time_ms,p95_solve_time_ms,solver_failure_rate,solver_failures_mean,infeasible_rate,fallback_rate,collision_after_fallback_rate,summary_path
exp_e0,E0,point_mass_2d_dynamic_obstacle_v1,random_shooting,smoke,1.0,0.0,0.0,-0.19378976538055162,4.812504184184316,4.3,0.008373060119302236,0.009739121499781808,0.0,0.0,0.0,0.0,0.0,results/exp_e0/summary.json
exp_e2,E2,point_mass_2d_dynamic_obstacle_v1,random_shooting,ed,0.6666666666666666,0.0,0.3333333333333333,0.06671337644389452,5.6488283707019535,6.8,1.889039772097606,2.2188083443325013,0.0,0.0,0.0,0.0,0.0,results/exp_e2/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,random_shooting,gamma=1.0,0.6666666666666666,0.0,0.3333333333333333,0.06671337644389452,5.6488283707019535,6.8,1.8621435275774016,1.880157978545564,0.0,0.0,0.0,0.0,0.0,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,random_shooting,gamma=0.15,0.6666666666666666,0.0,0.3333333333333333,0.5536854606230606,5.857913079603748,6.2,1.8661158920610443,1.8850149092031643,0.0,0.0,0.007936507936507936,0.0,0.0,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,random_shooting,gamma=0.08,1.0,0.0,0.0,0.8156454592675054,5.552425328554986,4.7,1.8659012327305458,1.8877459098196898,0.0,0.0,0.020425531914893616,0.0,0.0,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,random_shooting,gamma=0.04,0.6666666666666666,0.0,0.3333333333333333,1.073088357338355,6.7423886098088985,8.200000000000001,1.8577054754242681,1.8727890991916258,0.0,0.0,0.24433179723502305,0.0,0.0,results/exp_e3/summary.json
exp_e3,E3,point_mass_2d_dynamic_obstacle_v1,random_shooting,gamma=0.02,1.0,0.0,0.0,1.1567895844733866,6.380557035781151,6.833333333333333,1.8830915015509369,1.921799929308084,0.0,0.0,0.3529500964984836,0.0,0.0,results/exp_e3/summary.json
exp_e4,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.6666666666666666,0.0,0.3333333333333333,0.06671337644389452,5.6488283707019535,6.8,1.8435389476659318,1.874015637440607,0.0,0.0,0.0,0.0,0.0,results/exp_e4/summary.json
exp_e4,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,1.0,0.0,0.0,0.8156454592675054,5.552425328554986,4.7,1.8763159990794342,1.8957854064259057,0.0,0.0,0.020425531914893616,0.0,0.0,results/exp_e4/summary.json
extended/backend_comparison/casadi,E4,point_mass_2d_dynamic_obstacle_v1,casadi,ED,0.15,0.85,0.85,0.0008377388599895591,2.932805154150242,2.435000000000001,6.003593020641017,8.356387921376154,0.0,0.0,0.0,0.0,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,E4,point_mass_2d_dynamic_obstacle_v1,casadi,CBF gamma=0.08,1.0,0.0,0.0,0.6277667245343634,5.317329229917361,4.155,5.628696834032628,7.336235963884974,0.0,0.0,0.0,0.0,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,ED,0.9,0.0,0.1,0.07715586222930552,5.234845183154251,5.220000000000001,1.8314211240589402,1.861337327864021,0.0,0.0,0.004002525252525252,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,E4,point_mass_2d_dynamic_obstacle_v1,random_shooting,CBF gamma=0.08,0.85,0.0,0.15,0.8383147310336303,5.9500690166797146,5.915,1.8699372603978557,1.9050152087584138,0.0,0.0,0.033213891575065414,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.15,1.0,0.0,0.0,0.46034150195036794,5.113124819087231,4.125,1.157703217688616,1.2266737048048526,0.0,0.0,0.015680894308943087,0.0,0.0,results/extended/horizon_gamma/horizon_12/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.08,1.0,0.0,0.0,0.774580042699679,5.455958586925456,4.334999999999999,1.158585534189441,1.1781857315509114,0.0,0.0,0.016148192892378937,0.0,0.0,results/extended/horizon_gamma/horizon_12/summary.json
extended/horizon_gamma/horizon_12,E3,horizon_12,random_shooting,gamma=0.04,1.0,0.0,0.0,1.0044921651805951,5.682600875452879,4.495,1.146828603047137,1.1722461464523803,0.0,0.0,0.3949659639877031,0.0,0.0,results/extended/horizon_gamma/horizon_12/summary.json
extended/horizon_gamma/horizon_20,E3,horizon_20,random_shooting,gamma=0.15,0.85,0.0,0.15,0.5025598885776995,5.5456971715134005,5.525,1.8346181049386032,1.94723803200759,0.0,0.0,0.021023540649178767,0.0,0.0,results/extended/horizon_gamma/horizon_20/summary.json
extended/horizon_gamma/horizon_20,E3,horizon_20,random_shooting,gamma=0.08,0.85,0.0,0.15,0.8383147310336303,5.9500690166797146,5.915,1.8347037938452324,1.8780027220782358,0.0,0.0,0.033213891575065414,0.0,0.0,results/extended/horizon_gamma/horizon_20/summary.json
extended/horizon_gamma/horizon_20,E3,horizon_20,random_shooting,gamma=0.04,0.9,0.0,0.1,1.057893448602365,6.439048765470884,6.734999999999999,1.8441975121338996,1.8762083204637747,0.0,0.0,0.3070742229890481,0.0,0.0,results/extended/horizon_gamma/horizon_20/summary.json
extended/horizon_gamma/horizon_8,E3,horizon_8,random_shooting,gamma=0.15,1.0,0.0,0.0,0.3992744393394647,5.053395865889511,4.075,0.7949173425051443,0.8133058044768404,0.0,0.0,0.013719512195121953,0.0,0.0,results/extended/horizon_gamma/horizon_8/summary.json
extended/horizon_gamma/horizon_8,E3,horizon_8,random_shooting,gamma=0.08,1.0,0.0,0.0,0.7640770161705374,5.440885338818396,4.299999999999999,0.7936280380908891,0.8066187053918839,0.0,0.0,0.012793214537400585,0.0,0.0,results/extended/horizon_gamma/horizon_8/summary.json
extended/horizon_gamma/horizon_8,E3,horizon_8,random_shooting,gamma=0.04,1.0,0.0,0.0,0.9969142975693769,5.673867804479513,4.465000000000001,0.7910444084252113,0.8057074154203292,0.0,0.0,0.39290404040404037,0.0,0.0,results/extended/horizon_gamma/horizon_8/summary.json
extended/prediction_noise/prediction_noise_0.00,E4,prediction_noise_0.00,random_shooting,ED,0.9,0.0,0.1,0.07715586222930552,5.234845183154251,5.220000000000001,1.8255783930096432,1.846780501655303,0.0,0.0,0.004002525252525252,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.00/summary.json
extended/prediction_noise/prediction_noise_0.00,E4,prediction_noise_0.00,random_shooting,CBF gamma=0.08,0.85,0.0,0.15,0.8383147310336303,5.9500690166797146,5.915,1.85496526669791,1.8809638170932885,0.0,0.0,0.033213891575065414,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.00/summary.json
extended/prediction_noise/prediction_noise_0.03,E4,prediction_noise_0.03,random_shooting,ED,0.8,0.05,0.2,0.08619959836154852,5.226982890888583,5.420000000000001,2.1525526632023597,2.2283932313439436,0.0,0.0,0.007339912709269755,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.03/summary.json
extended/prediction_noise/prediction_noise_0.03,E4,prediction_noise_0.03,random_shooting,CBF gamma=0.08,0.85,0.0,0.15,1.135964867073073,6.961644913558136,7.795,2.1797826333198307,2.231230633769883,0.0,0.0,0.2757073365123436,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.03/summary.json
extended/prediction_noise/prediction_noise_0.06,E4,prediction_noise_0.06,random_shooting,ED,0.85,0.05,0.15,0.10510551015325095,5.147901241598439,5.0,2.1708341322838187,2.2128792711009737,0.0,0.0,0.010773809523809522,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.06/summary.json
extended/prediction_noise/prediction_noise_0.06,E4,prediction_noise_0.06,random_shooting,CBF gamma=0.08,0.35,0.0,0.65,1.2170051621032674,8.812675157833834,9.605,2.1930195801702306,2.2386458312394097,0.0,0.0,0.45930666482445925,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.06/summary.json
extended/prediction_noise/prediction_noise_0.10,E4,prediction_noise_0.10,random_shooting,ED,0.75,0.05,0.25,0.15719203959498204,5.507224086379167,6.045,2.128640691663777,2.1944023002288304,0.0,0.0,0.010268344006623794,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.10/summary.json
extended/prediction_noise/prediction_noise_0.10,E4,prediction_noise_0.10,random_shooting,CBF gamma=0.08,0.0,0.0,1.0,1.1289994388533384,10.741863537540976,10.0,2.1710127290862147,2.2329782661108766,0.0,0.0,0.8869999999999999,0.0,0.0,results/extended/prediction_noise/prediction_noise_0.10/summary.json
extended/scenarios/diagonal_crossing_v1_random_shooting,E4,diagonal_crossing_v1,random_shooting,ED,0.96,0.0,0.04,0.054587731325255885,5.425773052057187,5.564000000000001,2.032396048965927,2.0556734470301308,0.0,0.0,0.015094712257132754,0.0,0.0,results/extended/scenarios/diagonal_crossing_v1_random_shooting/summary.json
extended/scenarios/diagonal_crossing_v1_random_shooting,E4,diagonal_crossing_v1,random_shooting,CBF gamma=0.08,0.92,0.0,0.08,0.6402749925212755,6.005116470909309,6.356,2.0720673626383292,2.0985460052033886,0.0,0.0,0.03711462633843225,0.0,0.0,results/extended/scenarios/diagonal_crossing_v1_random_shooting/summary.json
extended/scenarios/fast_crossing_v1_random_shooting,E4,fast_crossing_v1,random_shooting,ED,0.9,0.0,0.1,0.054218795280702864,5.420357113374581,5.590000000000001,1.8213009873452892,1.8443361426470801,0.0,0.0,0.016964365254230875,0.0,0.0,results/extended/scenarios/fast_crossing_v1_random_shooting/summary.json
extended/scenarios/fast_crossing_v1_random_shooting,E4,fast_crossing_v1,random_shooting,CBF gamma=0.08,0.64,0.0,0.36,0.6557885331209249,6.694610897012472,7.574000000000001,1.8676717846146622,1.8907052968279459,0.0,0.0,0.18593347374903668,0.0,0.0,results/extended/scenarios/fast_crossing_v1_random_shooting/summary.json
extended/scenarios/large_obstacle_v1_random_shooting,E4,large_obstacle_v1,random_shooting,ED,0.94,0.02,0.06,0.0810109199683936,5.362733623520723,5.416,2.0269783035679465,2.0675878354813904,0.0,0.0,0.009256637427298233,0.0,0.0,results/extended/scenarios/large_obstacle_v1_random_shooting/summary.json
extended/scenarios/large_obstacle_v1_random_shooting,E4,large_obstacle_v1,random_shooting,CBF gamma=0.08,0.94,0.0,0.06,0.6751246091806538,6.076550923577859,6.3759999999999994,2.0701764593394953,2.0910486410721205,0.0,0.0,0.032770563125729985,0.0,0.0,results/extended/scenarios/large_obstacle_v1_random_shooting/summary.json
extended/scenarios/late_crossing_v1_random_shooting,E4,late_crossing_v1,random_shooting,ED,0.92,0.0,0.08,0.03575705805594549,5.856439749929325,6.136000000000001,1.6505367509927982,1.670921699842438,0.0,0.0,0.011097895560537772,0.0,0.0,results/extended/scenarios/late_crossing_v1_random_shooting/summary.json
extended/scenarios/late_crossing_v1_random_shooting,E4,late_crossing_v1,random_shooting,CBF gamma=0.08,0.94,0.0,0.06,0.7976590427918139,6.8662055238765,7.236000000000001,1.6886754035371991,1.7097761685727164,0.0,0.0,0.16512961059535092,0.0,0.0,results/extended/scenarios/late_crossing_v1_random_shooting/summary.json
extended/scenarios/noisy_prediction_v1_random_shooting,E4,noisy_prediction_v1,random_shooting,ED,0.9,0.04,0.1,0.08499113011153872,5.308351838981061,5.598,2.3549953006527655,2.3800141772371717,0.0,0.0,0.021714594518118212,0.0,0.0,results/extended/scenarios/noisy_prediction_v1_random_shooting/summary.json
extended/scenarios/noisy_prediction_v1_random_shooting,E4,noisy_prediction_v1,random_shooting,CBF gamma=0.08,0.46,0.0,0.54,1.0714547141719595,8.768630801315062,10.176,2.397765399897247,2.4235792152467184,0.0,0.0,0.41377895435921985,0.0,0.0,results/extended/scenarios/noisy_prediction_v1_random_shooting/summary.json
